feature,gain,share_pct
startup_cost,1088.5156163108995,31.208988318285208
sum_est_rows,654.1226388601499,18.754444574804854
n_index_scan,338.6066995590227,9.708241547186367
plan_depth,282.3198393249768,8.09443285469301
est_scan_rows,243.03374106180854,6.968055462036449
plan_rows,194.73854035939803,5.583376793246204
sum_est_width,178.25981177587528,5.110912787992589
n_materialize,107.96757700177841,3.095553980954238
startup_cost_frac,102.04266661619477,2.9256800202689073
num_relations,77.90007683513977,2.233484344653635
n_bitmap_scan,45.40253894915804,1.3017427462244615
n_sort,45.40082820341922,1.301693697186507
max_est_rows,35.11022551564383,1.0066503424946
total_cost,34.94623571384864,1.00194856722206
n_seq_scan,18.67679953505285,0.5354852147072339
num_nodes,15.478455535408443,0.4437850323423257
plan_width,14.66525864409266,0.42046974691945543
cost_per_est_row,5.155449090019829,0.14781262483972307
n_nested_loop,2.1121301920502447,0.06055718953651316
n_hash_join,1.9527038563974202,0.0559862540602922
n_joins,1.3069973541423678,0.03747310975261972
n_aggregate,0.07420352645567618,0.0021275000152770674
n_gather,0.02449600026011467,0.000702328358460846
workers_planned,0.013775600120425224,0.0003949622190012987
n_merge_join,0.0,0.0
